,TEMP,PH,CONDUCTIVITY,DO,BOD
722,14.2,7.7,530,86,5
723,13.2,7.1,570,34,3
724,15.6,7.45,500,67,5
725,18.4,7.75,410,,12
726,12.8,7.25,600,36,18
727,13.8,7.5,500,87,2
728,12.8,7.4,480,72,2
729,13,7.45,620,77,2
730,13.8,7.8,510,82,3
731,13.4,7.7,490,92,3
732,13.2,7.2,570,52,4
733,13.4,7.2,1370,,22
734,13.8,7.4,1130,,2
735,13.6,7.8,520,,2
736,14.2,7.7,660,,2
737,13.8,7.7,470,84,2
738,15.2,7.1,600,22,
739,14.6,7.15,520,78,
740,17.6,6.95,1010,13,
741,15.8,7.5,580,55,
742,14.8,7.15,500,55,
743,16.4,7.2,510,79,
744,15.4,7.2,500,68,
745,15,7.2,610,59,
746,14.8,7.35,510,55,
747,15.6,7,520,29,
748,18.2,7.35,510,47,
749,17.8,8.3,340,67,
750,14.2,7.2,450,46,
751,14.2,7.2,1340,62,
752,14,8.15,1360,43,
753,15.6,7.65,520,75,
754,13.8,7.45,630,85,
755,17.6,7.6,490,79,
756,,7.48,637,,<2
757,,7.39,577,,3
758,,7.64,636,,<2
759,,7.7,707,,<2
760,,7.89,548,,5
761,,7.96,618,,4
762,,,,,
763,,,,,
764,,,,,
765,,,,,21
766,,,,,<2
767,,,,,8
768,,,,,10
769,,,,,3
770,,,,,4
771,,,,,3
772,,,,,3
773,,,,,
774,8.2,7.2,510,45,3
775,6.8,7.4,390,54,31
776,,,,,3
777,9.8,7.55,420,94,7
778,9.4,7.58,410,90,5
779,,,,,7
780,11.8,7.05,1000,83,4
781,9,7.4,440,84,3
782,10.8,7.4,470,93,6
783,,,,,3
784,,,,,
785,,,,,
786,,,,,
787,,,,,
788,,,,,
789,,,,,
790,10,7.1,660,7,9
791,10.2,7.8,440,71,4
792,8.6,7.75,420,77,2
793,9.6,7.8,370,80,2
794,9.4,7.6,660,69,<2
795,8.4,7.6,560,60,2
796,9.6,7.4,600,44,6
797,10.2,7.8,500,72,<2
798,7,7.8,370,81,4
799,6.8,7.95,390,82,3
800,7.4,7.3,440,65,2
801,10.8,7.55,1010,91,<2
802,6,7.65,350,63,3
803,7,7.85,530,82,2
804,9.2,7.75,520,90,<2
805,7.2,7.9,410,85,<2
806,6,7.65,350,63,
807,6.2,7.75,510,59,
808,7.2,7.8,520,62,
809,6.2,7.75,520,65,
810,6.2,7.7,570,65,
811,7,7.75,520,63,
812,5.8,7.15,880,24,
813,9,7.7,710,66,
814,7.4,7.75,510,74,
815,8.2,7.75,500,77,
816,8.2,7.6,560,73,
817,6.8,7.65,590,71,
818,6.6,7.4,660,40,
819,7.2,7.75,640,69,
820,12.2,7.8,580,82,
821,12.4,7.3,610,69,
822,12.4,7.9,590,89,
823,11.6,7.9,590,98,
824,11.8,7.7,590,84,
825,11.2,7.6,580,75,
826,13.2,7.25,1450,49,2
827,13.4,8.45,630,120,2
828,12,7.75,850,72,<2
829,11.4,7.85,650,87,<2
830,11,7.85,560,77,<2
831,11.8,7.7,730,98,<2
832,11,7.95,650,74,<2
833,12.6,7.45,710,68,<2
834,10.2,7.4,860,45,<2
835,10.8,7.85,730,83,<2
836,,,,,4
837,,,,,<2
838,,,,,7
839,,,,,2
840,,,,,2
841,,,,,2
842,15.4,7.25,560,14,6
843,17.4,7.25,1120,15,30
844,17,8.05,470,130,3
845,16.4,7.9,510,94,3
846,16,7.65,410,66,4
847,17,7.9,600,97,3
848,14.4,7.8,580,80,<2
849,15.8,7.65,710,50,<2
850,14,7.95,620,78,6
851,14.2,7.75,520,91,2
852,15,7.85,600,87,2
853,18,7.55,590,75,6
854,14,7.7,1780,86,2
855,17.2,7.6,480,114,17
856,15.2,7.85,420,106,4
857,13.8,7.85,800,98,4
858,17.2,8.05,600,117,5
859,15.2,7.6,860,9,8
860,17.4,7,740,16,10
861,19.8,7.8,550,98,25
862,14.4,7.8,680,75,3
863,15.8,7.75,590,70,<2
864,15.8,7.7,560,56,3
865,15,7.75,820,54,<2
866,15,7.55,650,49,3
867,14.6,,620,72,3
868,15.2,7.85,600,76,4
869,15.8,8.1,560,64,7
870,19.4,7.75,560,59,18
871,13.8,7.6,1710,58,<2
872,18.2,7.9,610,78,14
873,15.2,8.1,670,77,<2
874,20.6,8.5,380,115,<2
875,13.4,8.5,820,72,
876,15,7.9,700,50,
877,15.4,7.05,540,0,6
878,20,8.2,600,90,6
879,14.8,7.9,650,69,4
880,16.8,7.8,490,54,5
881,16.6,7.9,540,81,5
882,15.4,7.75,640,52,4
883,15.4,7.9,570,63,<2
884,14.6,8.15,630,57,4
885,15.8,8.1,610,70,<2
886,15.4,7.9,630,71,12
887,20.4,8.15,580,75,6
888,14.4,7.7,1680,53,<2
889,21.8,8.6,400,108.9,
890,14.8,8.05,510,70,<2
891,17.6,7.85,500,73,<2
892,,7.5,574,,4
893,,7.24,950,,4
894,,7.68,635,,6
895,,7.65,560,,5
896,,7.54,415,,3
897,,7.83,523,,5
898,,7.89,563,,5
899,11.6,7.65,570,55,<2
900,11.4,7.9,540,68,<2
901,11.2,7.85,540,78,2
902,12.6,7.55,600,76,3
903,11,7.45,550,37,3
904,12.6,7.65,1340,72,<2
905,11.4,7.95,820,77,<2
906,11,7.7,540,75,<2
907,,7.65,636,,3
908,11.4,7.55,470,,<2
909,9.8,7.1,420,,<2
910,,7.6,510,,7
911,11,7.65,510,,<2
912,10.6,7.5,500,,<2
913,10.6,7.85,440,,<2
914,10.6,7.75,450,,<2
915,11,7.5,540,,<2
916,8,7.8,490,,2
917,12.4,7.35,1210,,<2
918,9.6,7.6,120,,3
919,10.4,7.85,130,,<2
920,11.4,7.85,720,,<2
921,8.6,7.6,380,,
922,8.8,8,490,,
923,8.6,8.05,460,,
924,8.8,7.95,350,,
925,8.2,7.95,520,,
926,9.8,7.35,460,,
927,8,8,440,,
928,7.8,7.95,370,,
929,10,8.1,790,,
930,8.4,7.9,400,,
931,7.6,7.25,930,,2
932,7.4,7.5,1000,,14
933,6.8,7.6,1150,,3
934,6.6,7.6,1070,,5
935,6,7.45,1250,,2
936,7.2,7.4,700,,3
937,7,,750,,3
938,7,,1100,,6
