STATION,LOCATION,STATE,TEMP,DO,PH,CONDUCTIVITY,BOD,NITRATE,FECAL_COLI,TOTAL_COLI,YEAR,WQI
1726,"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER, TRIPURA",TRIPURA,26.6,6.6,7.9,210,4.2,1.9,510,572,2014,77.75392157
2,"DAMANGANGA AT D/S OF MADHUBAN, DAMAN",DAMAN & DIU,NAN,NAN,0,208,NAN,NAN,NAN,NAN,2013,85.07519039
1150,"DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,GUJARAT",GUJARAT,27.1,7.3,7.9,693,0.5,1,161,173,2013,108.1466299
1246,"DAMANGANGA AT KACHIGAON D\S (DAMAN), GUJARAT",GUJARAT,27.3,5,7.6,1676,1.8,8,329,174,2013,226.0352941
1865,RIVER DHADAR AT KOTHADA,GUJARAT,NAN,NAN,0,506,NAN,6,26,227,2013,117.7692865
1434,"AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,GUJARAT",GUJARAT,24.5,6,7.7,1863,8.6,1,47,1183,2013,281.1689951
1980,AMLAKHADI AT PUNGAM ANKLESHWAR DISTT BHARUCH,GUJARAT,NAN,NAN,NAN,24300,NAN,7,22474,24,2013,2707.175169
1149,"KOLAK AT PATALIA BDG., GUJARAT",GUJARAT,27.5,5.3,7.8,817,2.8,1,9,23,2013,138.7939338
1436,"BHADAR V/S JETPUR VILL. A/C OF W. WATER FROM JETPUR CITY, GUJARAT",GUJARAT,28.3,4.3,7.8,2307,103.8,1.23,NAN,1817,2013,853.3472917
1860,BALEHWAR KHADI AT N.H. NO 8,GUJARAT,28.4,4.5,8.3,1287,1.5,11,116,5,2013,190.8699142
2082,TRIVENI SANGAM,GUJARAT,NAN,NAN,NAN,NAN,NAN,0,NAN,2,2013,264.4988729
1148,"AMBIKA AT BILIMORA, GUJARAT",GUJARAT,27.6,6.8,8.2,1862,2.5,0.87,7,64,2013,250.74125
3205,"UPSTREAM OF RIVER VISHWAMITRI AT ASOD BRIDGE AT N.H. 8 , NEAR GLDEN CHOKDI, ASOD VEMALI ROAD",GUJARAT,NAN,5,8,NAN,0.7,0,NAN,NAN,2013,243.456057
3204,"DOWNSTREAM OF RIVER VISHWAMITRI AT KHALIPUR VILLAGE, BEFORE MEETING JAMBUVA RIVER",GUJARAT,NAN,3,7.7,NAN,0.4,0,NAN,NAN,2013,244.403361
1862,KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,GUJARAT,27,6.7,8.1,2520,7.2,1,6,41,2013,347.1822917
2072,RIVER BHOGAVO D/S OF SURENDRANAGAR,GUJARAT,29,8.2,8.4,606,2.9,0,NAN,NAN,2013,114.363747
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2013,264.4988729
1399,"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS, GOA",GOA,30,5.6,7.5,41,2,0.08,7022,13410,2013,46.00139706
1475,ZUARI AT PANCHAWADI,GOA,30.4,5.5,6.7,209,0.8,0.17,1893,2915,2013,49.80773284
3181,RIVER ZUARI AT BORIM BRIDGE,GOA,30.8,5.5,7.1,123,1.5,0.09,3293,6264,2013,48.37067402
3182,RIVER ZUARI AT MARCAIM JETTY,GOA,30.3,5.3,7.3,182,1.5,0.08,1976,3080,2013,57.41628676
