SAMPLE,Weather,Location,SITE,TEMP,PH,CONDUCTIVITY,DO,Turburdity,Nitrite,NITRATE,TOTAL_COLI,E-Coli,FEACEL,AMONIAUM,BOD,COD,PHOSPHATE,SALINITY,WQI
29-Apr-09,Sunny,Crow Lane,3a,9.88,5.84,1041,154.9,,,,72000,10000,,0.57,3,,0.34,,44.55763889
28-Apr-09,Sunny,Ashton vale,4,7.39,1.97,979.4,109.7,,,,160000,11000,,0.51,3,,< 0.10,,-4.691609477
28-Apr-09,Sunny,Hartcliffe Way,5,9.49,3.95,531.4,99.2,,,,26000,3400,,0.19,4,,0.1,,19.37444444
28-Apr-09,Sunny,Briscoe's Avenue,5a,8.69,3.98,769.8,103,,,,30000,14000,,0.08,2,,0.12,,16.12805556
28-Apr-09,Sunny,Manor Wood,6,10.13,4.34,752.1,100.3,,,,74000,14000,,0.15,2,,0.48,,21.35680556
28-Apr-09,Sunny,Cotswold Road,7a,8.63,5.38,1002,84.9,,,,24000,8200,,0.16,< 2,,0.17,,53.77198503
28-Apr-09,Sunny,Brixham Road,7b,8.23,4.84,1075.1,98.2,,,,17000,8800,,0.11,3,,0.13,,40.82465686
28-Apr-09,Sunny,Allison Road,9,8.95,3.77,702.3,105,,,,14000,4600,,0.2,3,,0.26,,15.48671569
28-Apr-09,Sunny,Cadogan Road,10,9.4,3.87,849.9,81.9,,,,360000,18000,,0.2,7,,0.23,,41.66288399
28-Apr-09,Sunny,St Georges Park Lake,11,13.29,4.44,697.7,67.2,,,,200,<200,,0.08,7,,< 0.10,,48.82986928
29-Apr-09,Sunny,Dubbers Lane,12,11.5,4.76,1911.3,81.8,,,,3800,1400,,38.3,3,,< 0.10,,62.19684641
29-Apr-09,Sunny,Eastville Park Lake,13,14.46,4.8,621,80.3,,,,800,600,,1.32,3,,< 0.10,,32.67242647
29-Apr-09,Sunny,Lower Grove Road,13a,11.99,4.94,836.7,95.4,,,,120000,24000,,0.07,14,,0.15,,84.5902451
29-Apr-09,Sunny,Snuff Mills,14,9.57,4.58,685.6,121,,,,800,<200,,0.03,2,,< 0.10,,19.64933007
29-Apr-09,Sunny,Wade Street,14a,11.27,5.24,681,135.7,,,,1600,<200,,0.16,2,,< 0.10,,26.47920752
29-Apr-09,Sunny,Mina Park ,15,10.55,6.16,914.8,169.4,,,,17000,2600,,0.07,< 2,,0.2,,48.26576771
28-Apr-09,Sunny,Conham Vale,16,12.66,4.11,732.7,105.4,,,,6600,2800,,0.12,5,,0.12,,29.64890523
03-Jun-09,,Trowbridge Road,2,14.72,5.27,1078.2,62.2,,,,3500000,700000,,2.14,45,,0.73,,234.5070752
03-Jun-09,,Badocks Wood,2a,14.63,4.77,1176.7,48.8,,,,15000,3000,,1.02,8,,1.14,,72.35372549
03-Jun-09,,Coombe Dingle,3,13.79,3.2,1035.5,102.1,,,,2200,200,,0.08,< 2,,0.31,,20.22770398
03-Jun-09,,Crow Lane,3a,14.4,4.51,1161.3,66.6,,,,23000,3000,,0.39,< 2,,0.42,,48.18749973
02-Jun-09,,Ashton vale,4,13.38,5.63,1222,80.1,,,,180000,80000,,0.65,2,,< 0.10,,54.4692402
02-Jun-09,,Hartcliffe Way,5,19.46,7.15,427.8,75.2,,,,5800,400,,0.1,4,,0.22,,67.11653595
02-Jun-09,,Briscoe's Avenue,5a,18.1,7.47,818,74.4,,,,1800,3800,,0.36,< 2,,0.42,,81.31777751
02-Jun-09,,Manor Wood,6,13.82,6.76,789.3,70.8,,,,2000,5000,,0.69,< 2,,0.88,,71.05833307
02-Jun-09,,Cotswold Road,7a,13.72,3.76,950.7,67,,,,7400,2400,,0.38,< 2,,0.27,,32.37844745
02-Jun-09,,Brixham Road,7b,13.25,4.98,943.8,73.4,,,,4200,2600,,0.09,< 2,,0.21,,48.64746705
02-Jun-09,,Allison Road,9,14.63,7.01,858.1,75.8,,,,1400,4600,,0.24,< 2,,0.81,,75.40387228
